id,title,company_logo_url,experience_level,marker_icon,salary_uop_from,salary_uop_to,salary_b2b_from,salary_b2b_to
bonnier-business-senior-python-developer-bankier-pl,Python Developer  Bankier.pl,https://bucket.justjoin.it/offers/company_logos/thumb/1d3efbd3662d75f40113c9982ca537190b640047.jpg?1652856345,senior,python,,,15000,20000
seedia-senior-embedded-firmware-developer-krakow,Senior Embedded Firmware Developer,https://bucket.justjoin.it/offers/company_logos/thumb/4d2d4f97ab9a9d0151f75a8a491c50b4778d0b93.PNG?1657173479,senior,c,12900,17300,,
seedia-senior-embedded-firmware-developer-1e8c23a6-25de-496a-8515-6a01e8e5de97,Senior Backend/Python Engineer,https://bucket.justjoin.it/offers/company_logos/thumb/3a4c059bb04148a8484611420ba4abf29b629108.PNG?1657173878,senior,python,12900,17300,,
ardigen-s-a-devops-engineer-aws-krakow,DevOps Engineer (AWS),https://bucket.justjoin.it/offers/company_logos/thumb/1cef13f0dc941cc67d047d532012650ffd7d5f12.png?1657880068,mid,devops,15000,26000,15000,26000
useo-sp-z-o-o-experienced-reactjs-developer,Experienced ReactJS Developer,https://bucket.justjoin.it/offers/company_logos/thumb/4275c8935e40f62b061bee0ad10d391b30b7cba5.png?1656581346,senior,javascript,16100,21300,19400,25600
adaptiq-senoir-node-js-engineer,Senior Node.js Engineer,https://bucket.justjoin.it/offers/company_logos/thumb/954593b39465134971c895726f91aaf4cded3cd8.png?1648471784,senior,javascript,5500,7500,5500,7500
smartbear-junior-customer-support-engineer-27a61400-f491-4b43-94bf-79b57819993c,Junior Customer Support Engineer,https://bucket.justjoin.it/offers/company_logos/thumb/7b017edb4206ec214ba40a0df48fb1e92038bec4.png?1656322506,junior,support,6000,7500,,
syzygy-ux-ui-designer-warszawa,UX/UI Designer,https://bucket.justjoin.it/offers/company_logos/thumb/d8d71e3f9fd43f17b0d5c071f012a2c0f0b2eeee.png?1656497241,senior,ux,8400,11000,10000,13000
in-team-react-developer-dcdf13af-7806-464f-871f-4127ed96800c,React Developer (100% greenfield),https://bucket.justjoin.it/offers/company_logos/thumb/29507a5fb44b9c2701e6ba737bd34ce3a3d5dfdf.png?1652360569,mid,javascript,,,21840,25200
weartech-senior-python-developer-wroclaw,Senior Python Developer,https://bucket.justjoin.it/offers/company_logos/thumb/575e5c38812764e0872732872156f1f43e528657.jpg?1651324771,senior,python,,,18000,24500
borgwarner-poland-etts-it-systems-network-specialist-dcos,IT Systems & Network Specialist (DCOS),https://bucket.justjoin.it/offers/company_logos/thumb/0722e0db1763394aca7a2cf500cc1c4f0828e7a9.PNG?1655717686,mid,data,10500,16500,,
avsystem-senior-technical-support-engineer,Senior Technical Support Engineer,https://bucket.justjoin.it/offers/company_logos/thumb/a9b35a3461d54f6b1c35e2213226baf7b50f6f0b.jpg?1652186590,senior,support,,,12000,16000
toyota-mlodszy-specjalista-helpdesk-it,Młodszy Specjalista/Helpdesk IT,https://bucket.justjoin.it/offers/company_logos/thumb/54c3c0cd9a887b31178726a585436d44870eabbe.png?1655964275,junior,support,6170,8340,,
